Horodateur,Quelles langues parles-tu? (Cocher toutes les langues que tu parles),Genre,Age (en ans),Taille (en cm),Poids (en Kg),Quelle est la distance tu vas parcourir pour rejoindre le mariage?,Comment qualifies-tu ta relation avec: [Abed Alrahman],Comment qualifies-tu ta relation avec: [Dania]
16/06/2021 13:07:19,"Anglais, Français",Mâle,24,193,70,201+ Km,Ami proche,Ami
16/06/2021 13:09:30,"Français, Arabe",Femelle,25,170,65,201+ Km,Ami,Ami
16/06/2021 14:12:47,"Anglais, Français, Arabe",Mâle,23,172,75,201+ Km,Ami proche,Qui?
16/06/2021 20:40:55,"Anglais, Français, Arabe, chinois, allemand",Mâle,48,180,70,101-200 Km,Famille,Connaissance
17/06/2021 23:15:18,"Anglais, Français",Mâle,26,170,60,201+ Km,Qui?,Qui?
20/06/2021 15:52:03,Français,Femelle,28,170,65,11-30 Km,Qui?,Ami proche
20/06/2021 15:55:43,"Anglais, Français, Arabe",Femelle,27,160,61,201+ Km,Qui?,Ami proche
20/06/2021 20:17:43,Français,Femelle,29,170,72,31-50 Km,Qui?,Ami proche
21/06/2021 10:53:49,turc,Femelle,30,168,60,11-30 Km,Ami,Ami proche
22/06/2021 14:51:07,"Anglais, Français, Arabe",Femelle,31,165,50,1-10 Km,Qui?,Ami proche
22/06/2021 17:49:25,"Anglais, Français, Allemand, Arabe",Mâle,23,182,64,101-200 Km,Ami,Qui?
24/06/2021 00:55:56,"Anglais, Français, Arabe, Allemand",Femelle,27,168,Aucune idée,201+ Km,Famille,Connaissance
24/06/2021 00:55:56,"Anglais, Allemand, Farsi",Mâle,Aucune idée,Aucune idée,Aucune idée,201+ Km,Qui?,Qui?
25/06/2021 15:53:43,"Anglais, Français",Mâle,46,178,90,101-200 Km,Famille,Qui?
27/06/2021 20:17:22,"Français, Arabe",Femelle,25,158,60,1-10 Km,Connaissance,Ami proche
27/06/2021 20:32:02,"Anglais, Français, Arabe",Femelle,L’âge de raison ,162,Is that a question for a lady ? ,51-100 Km,Qui?,Famille
29/06/2021 15:17:31,"Anglais, Français, Arabe",Mâle,..,...,...,101-200 Km,Ami proche,Ami proche
04/07/2021 19:47:40,"Anglais, Français, Arabe",Mâle,51,187,95,201+ Km,Ami proche,Ami
04/07/2021 19:49:13,"Anglais, Français, Arabe",Femelle,36,176,70,201+ Km,Ami proche,Ami
06/07/2021 15:22:42,"Anglais, Français",Femelle,26,164,78,1-10 Km,Qui?,Ami proche